Date,Open,High,Low,Close,Volume,Adj Close
1998-10-09,252.751561157,253.585724725,246.91241618,247.538038856,10000,247.538038856
1998-10-12,244.409925475,244.409925475,241.907434771,242.115975663,10000,242.115975663
1998-10-13,241.698893879,248.580743316,240.447648526,246.91241618,10000,246.91241618
1998-10-14,246.495334396,247.329497964,243.158680123,245.244089043,10000,245.244089043
1998-10-15,244.201384583,244.827007259,240.86473031,243.367221015,10000,243.367221015
1998-10-16,245.244089043,246.91241618,241.073271202,246.703875288,10000,246.703875288
1998-10-19,245.661170827,248.163661532,244.827007259,245.244089043,10000,245.244089043
1998-10-20,242.741598339,243.367221015,238.362239606,238.77932139,10000,238.77932139
1998-10-21,236.485371577,240.239107634,236.068289793,239.404944066,10000,239.404944066
1998-10-22,238.570780498,245.661170827,238.570780498,245.244089043,10000,245.244089043
1998-10-23,246.495334396,247.329497964,243.992843691,246.286793504,10000,246.286793504
1998-10-26,245.661170827,251.083234021,244.409925475,250.04052956,10000,250.04052956
1998-10-27,249.623447776,249.831988668,246.286793504,246.286793504,10000,246.286793504
1998-10-28,245.452629935,248.789284208,245.244089043,246.078252611,10000,246.078252611
1998-10-29,246.078252611,249.623447776,241.490352987,242.324516555,10000,242.324516555
1998-10-30,243.575761907,246.495334396,243.575761907,245.452629935,10000,245.452629935
1998-11-02,243.784302799,243.992843691,237.73661693,239.613484958,10000,239.613484958
1998-11-03,239.613484958,243.367221015,237.110994254,239.82202585,10000,239.82202585
1998-11-04,236.902453362,239.404944066,236.068289793,237.110994254,10000,237.110994254
1998-11-05,237.319535146,240.447648526,237.110994254,239.82202585,10000,239.82202585
1998-11-06,239.404944066,243.575761907,239.404944066,241.907434771,10000,241.907434771
1998-11-09,242.533057447,244.827007259,242.324516555,244.409925475,10000,244.409925475
1998-11-10,245.661170827,246.078252611,242.741598339,244.409925475,10000,244.409925475
1998-11-11,244.201384583,246.078252611,242.741598339,243.992843691,10000,243.992843691
1998-11-12,245.244089043,246.286793504,242.324516555,243.784302799,10000,243.784302799
1998-11-13,241.490352987,242.324516555,239.404944066,239.82202585,10000,239.82202585
1998-11-16,238.570780498,241.073271202,238.570780498,238.987862282,10000,238.987862282
1998-11-17,239.404944066,240.86473031,239.196403174,240.239107634,10000,240.239107634
1998-11-18,241.698893879,244.827007259,241.281812094,244.409925475,10000,244.409925475
1998-11-19,243.575761907,243.575761907,241.698893879,242.741598339,10000,242.741598339
1998-11-20,241.698893879,241.907434771,237.110994254,238.153698714,10000,238.153698714
1998-11-23,234.817044441,235.651208009,230.6462266,230.6462266,10000,230.6462266
1998-11-24,230.252632357,231.433415087,229.071849627,230.6462266,10000,230.6462266
1998-11-25,231.82700933,232.614197817,231.236617965,232.220603574,10000,232.220603574
1998-11-27,233.00779206,234.18857479,231.433415087,231.630212209,10000,231.630212209
1998-11-30,234.18857479,234.778966155,230.252632357,231.630212209,10000,231.630212209
1998-12-01,229.859038114,229.859038114,227.694269775,227.891066897,10000,227.891066897
1998-12-02,228.28466114,229.662240992,228.087864019,228.087864019,10000,228.087864019
1998-12-03,226.710284167,227.10387841,223.955124463,224.348718707,10000,224.348718707
1998-12-04,224.74231295,227.10387841,223.955124463,225.332704315,10000,225.332704315
1998-12-07,226.316689923,226.710284167,222.774341733,223.758327342,10000,223.758327342
1998-12-08,223.167935977,223.364733098,220.806370517,223.364733098,10000,223.364733098
1998-12-09,223.167935977,225.135907193,216.47683384,216.673630962,10000,216.673630962
1998-12-10,216.47683384,218.444805057,214.705659745,217.067225205,10000,217.067225205
1998-12-11,217.264022327,217.65761657,214.508862623,214.705659745,10000,214.705659745
1998-12-14,213.721674136,218.8383993,213.524877015,217.264022327,10000,217.264022327
1998-12-15,219.035196422,220.609573395,215.689645353,215.886442475,10000,215.886442475
1998-12-16,216.870428083,219.428790665,216.673630962,218.8383993,10000,218.8383993
1998-12-17,220.01918203,221.396761882,216.870428083,217.460819448,10000,217.460819448
1998-12-18,216.083239596,219.231993543,215.29605111,218.051210813,10000,218.051210813
1998-12-21,218.8383993,220.01918203,215.492848231,219.231993543,10000,219.231993543
1998-12-22,220.806370517,220.806370517,217.460819448,217.854413692,10000,217.854413692
1998-12-23,219.625587787,219.822384908,217.264022327,218.641602178,10000,218.641602178
1998-12-24,219.625587787,222.774341733,219.035196422,222.577544612,10000,222.577544612
1998-12-28,223.364733098,223.364733098,221.003167638,222.38074749,10000,222.38074749
1998-12-29,222.774341733,223.167935977,221.593559003,221.790356125,10000,221.790356125
1998-12-30,220.806370517,220.806370517,216.47683384,217.264022327,10000,217.264022327
1998-12-31,216.870428083,218.444805057,216.47683384,217.460819448,10000,217.460819448
1999-01-04,217.460819448,220.215979152,217.460819448,219.625587787,10000,219.625587787
1999-01-05,220.412776273,221.19996476,218.444805057,220.609573395,10000,220.609573395
1999-01-06,223.56153022,226.710284167,222.774341733,226.316689923,10000,226.316689923
1999-01-07,225.135907193,227.497472653,225.135907193,226.316689923,10000,226.316689923
1999-01-08,225.726298558,231.236617965,225.726298558,229.268646749,10000,229.268646749
1999-01-11,228.678255384,228.678255384,224.74231295,224.939110072,10000,224.939110072
1999-01-12,224.348718707,224.74231295,220.609573395,221.593559003,10000,221.593559003
1999-01-13,218.444805057,218.444805057,214.11526838,215.886442475,10000,215.886442475
1999-01-14,216.280036718,218.444805057,215.886442475,217.65761657,10000,217.65761657
1999-01-15,217.65761657,219.231993543,217.65761657,218.051210813,10000,218.051210813
1999-01-19,212.540891406,213.721674136,209.982528825,211.360108676,10000,211.360108676
1999-01-20,210.769717311,213.721674136,210.769717311,212.93448565,10000,212.93448565
1999-01-21,212.93448565,213.131282771,207.030572,210.966514433,10000,210.966514433
1999-01-22,211.75370292,214.11526838,211.163311555,213.524877015,10000,213.524877015
1999-01-25,210.57292019,212.540891406,210.376123068,212.147297163,10000,212.147297163
1999-01-26,214.902456866,216.280036718,213.328079893,213.328079893,10000,213.328079893
1999-01-27,212.147297163,214.902456866,210.57292019,214.508862623,10000,214.508862623
1999-01-28,214.902456866,217.460819448,213.721674136,215.099253988,10000,215.099253988
1999-01-29,214.11526838,217.264022327,213.918471258,216.870428083,10000,216.870428083
1999-02-01,215.099253988,215.099253988,210.966514433,212.344094285,10000,212.344094285
1999-02-02,213.328079893,214.508862623,211.950500041,212.737688528,10000,212.737688528
1999-02-03,215.689645353,216.083239596,208.604948973,209.195340338,10000,209.195340338
1999-02-04,209.39213746,210.966514433,209.39213746,210.769717311,10000,210.769717311
1999-02-05,210.966514433,212.540891406,210.966514433,212.147297163,10000,212.147297163
1999-02-08,212.147297163,212.147297163,209.39213746,209.785731703,10000,209.785731703
1999-02-09,208.408151851,208.604948973,207.424166243,208.21135473,10000,208.21135473
1999-02-10,205.456195026,210.57292019,205.456195026,210.376123068,10000,210.376123068
1999-02-11,212.147297163,213.524877015,206.440180635,206.833774878,10000,206.833774878
1999-02-12,206.046586391,206.046586391,202.307441079,202.701035323,10000,202.701035323
1999-02-16,202.701035323,203.881818053,197.977904403,198.568295768,10000,198.568295768
1999-02-17,197.584310159,200.733064106,194.632353334,200.536266984,10000,200.536266984
1999-02-18,200.733064106,203.488223809,198.371498646,203.094629566,10000,203.094629566
1999-02-19,203.094629566,203.094629566,199.945875619,200.536266984,10000,200.536266984
1999-02-22,199.945875619,199.945875619,195.813136064,198.182573409,10000,198.182573409
1999-02-23,199.31612483,200.260751014,197.615797699,197.804722936,10000,197.804722936
1999-02-24,195.726545331,196.482246278,191.948040595,192.136965831,10000,192.136965831
1999-02-25,191.570190121,194.970844383,188.925236806,189.114162042,10000,189.114162042
1999-02-26,189.680937753,190.4366387,187.413834911,187.791685385,10000,187.791685385
1999-03-01,189.680937753,193.837292963,189.680937753,192.514816305,10000,192.514816305
1999-03-02,193.270517252,199.31612483,193.270517252,199.31612483,10000,199.31612483
1999-03-03,198.371498646,200.260751014,196.482246278,196.860096752,10000,196.860096752
1999-03-04,198.371498646,201.772152908,196.482246278,198.371498646,10000,198.371498646
1999-03-05,196.482246278,202.527853856,196.104395804,202.338928619,10000,202.338928619
1999-03-08,204.794956697,206.495283829,203.283554803,204.03925575,10000,204.03925575
1999-03-09,202.527853856,205.928508118,200.638601488,200.827526724,10000,200.827526724
1999-03-10,202.338928619,208.573461433,202.338928619,208.006685723,10000,208.006685723
1999-03-11,207.817760486,209.518087617,205.928508118,209.518087617,10000,209.518087617
1999-03-12,209.329162381,210.084863328,205.928508118,205.928508118,10000,205.928508118
1999-03-15,203.283554803,205.928508118,202.527853856,205.739582881,10000,205.739582881
1999-03-16,206.306358592,209.329162381,204.417106224,208.951311907,10000,208.951311907
1999-03-17,210.462713802,212.91874188,209.518087617,209.895938091,10000,209.895938091
1999-03-18,209.895938091,209.895938091,205.928508118,206.873134302,10000,206.873134302
1999-03-19,206.306358592,208.573461433,206.117433355,208.384536197,10000,208.384536197
1999-03-22,207.439910013,212.163040933,207.250984776,208.76238667,10000,208.76238667
1999-03-23,208.006685723,208.19561096,205.928508118,206.117433355,10000,206.117433355
1999-03-24,208.573461433,208.951311907,203.661405277,203.850330513,10000,203.850330513
1999-03-25,202.905704329,213.863368064,202.150003382,213.296592354,10000,213.296592354
1999-03-26,213.107667117,218.775424221,212.729816643,218.397573747,10000,218.397573747
1999-03-29,218.397573747,222.553928957,215.752620432,222.36500372,10000,222.36500372
1999-03-30,221.042527063,224.443181325,220.664676589,222.176078483,10000,222.176078483
1999-03-31,221.042527063,221.042527063,211.785190459,211.785190459,10000,211.785190459
1999-04-01,211.218414749,211.785190459,208.384536197,209.140237144,10000,209.140237144
1999-04-05,207.817760486,212.729816643,207.439910013,211.029489512,10000,211.029489512
1999-04-06,210.840564275,212.35196617,206.684209065,211.218414749,10000,211.218414749
1999-04-07,209.518087617,210.273788565,206.117433355,207.628835249,10000,207.628835249
1999-04-08,205.550657645,206.306358592,202.527853856,203.094629566,10000,203.094629566
1999-04-09,201.961078145,202.338928619,200.260751014,200.827526724,10000,200.827526724
1999-04-12,202.150003382,202.150003382,195.15976962,195.537620094,10000,195.537620094
1999-04-13,194.970844383,197.237947225,192.703741542,193.459442489,10000,193.459442489
1999-04-14,196.482246278,198.74934912,195.348694857,195.537620094,10000,195.537620094
1999-04-15,196.482246278,199.127199593,194.970844383,198.371498646,10000,198.371498646
1999-04-16,198.74934912,198.74934912,192.892666779,193.837292963,10000,193.837292963
1999-04-19,191.948040595,193.081592015,189.303087279,190.625563937,10000,190.625563937
1999-04-20,192.703741542,196.293321041,192.703741542,195.348694857,10000,195.348694857
1999-04-21,195.348694857,195.726545331,192.703741542,194.404068673,10000,194.404068673
1999-04-22,194.404068673,196.860096752,193.837292963,194.404068673,10000,194.404068673
1999-04-23,194.781919147,195.348694857,190.4366387,192.892666779,10000,192.892666779
1999-04-26,191.622442256,192.711206133,190.170757087,190.896599672,10000,190.896599672
1999-04-27,191.985363548,193.437048717,188.356150627,188.719071919,10000,188.719071919
1999-04-28,189.807835795,191.44098161,187.811768688,191.259520964,10000,191.259520964
1999-04-29,192.711206133,192.892666779,190.170757087,191.259520964,10000,191.259520964
1999-04-30,190.896599672,194.888733885,190.53367838,194.525812593,10000,194.525812593
1999-05-03,194.888733885,194.888733885,190.352217734,191.622442256,10000,191.622442256
1999-05-04,191.803902902,193.255588071,188.719071919,190.896599672,10000,190.896599672
1999-05-05,190.170757087,191.622442256,189.081993211,190.170757087,10000,190.170757087
1999-05-06,189.081993211,190.896599672,189.081993211,190.352217734,10000,190.352217734
1999-05-07,190.170757087,192.34828484,187.811768688,191.985363548,10000,191.985363548
1999-05-10,192.166824194,192.34828484,189.807835795,191.622442256,10000,191.622442256
1999-05-11,191.622442256,194.162891301,191.259520964,193.799970009,10000,193.799970009
1999-05-12,195.977497762,197.973564869,194.525812593,196.340419054,10000,196.340419054
1999-05-13,197.42918293,199.243789391,195.977497762,196.340419054,10000,196.340419054
1999-05-14,197.066261638,197.066261638,188.356150627,189.081993211,10000,189.081993211
1999-05-17,190.352217734,192.166824194,189.081993211,190.715139026,10000,190.715139026
1999-05-18,189.444914503,191.985363548,186.36008352,191.622442256,10000,191.622442256
1999-05-19,191.985363548,191.985363548,188.174689981,188.537611273,10000,188.537611273
1999-05-20,188.356150627,188.356150627,185.815701582,185.997162228,10000,185.997162228
1999-05-21,184.364016413,184.908398351,182.912331244,183.09379189,10000,183.09379189
1999-05-24,182.18648866,182.549409952,179.101657677,179.464578969,10000,179.464578969
1999-05-25,179.827500261,181.27918543,179.646039615,180.553342845,10000,180.553342845
1999-05-26,180.008960907,182.18648866,179.283118323,179.646039615,10000,179.646039615
1999-05-27,181.097724784,181.823567368,180.008960907,181.460646076,10000,181.460646076
1999-05-28,182.730870598,184.364016413,182.18648866,183.09379189,10000,183.09379189
1999-06-01,180.553342845,182.912331244,179.646039615,182.730870598,10000,182.730870598
1999-06-02,182.549409952,184.001095121,179.283118323,183.819634475,10000,183.819634475
1999-06-03,185.452780289,189.807835795,184.908398351,189.444914503,10000,189.444914503
1999-06-04,188.719071919,189.444914503,186.178622874,186.36008352,10000,186.36008352
1999-06-07,189.081993211,191.259520964,186.904465458,187.085926104,10000,187.085926104
1999-06-08,186.178622874,186.904465458,184.726937705,185.271319643,10000,185.271319643
1999-06-09,183.638173829,187.630308042,182.730870598,185.089858997,10000,185.089858997
1999-06-10,185.997162228,188.537611273,185.997162228,188.537611273,10000,188.537611273
1999-06-11,188.174689981,190.896599672,186.178622874,186.541544166,10000,186.541544166
1999-06-14,185.815701582,190.715139026,184.545477059,190.715139026,10000,190.715139026
1999-06-15,190.170757087,191.259520964,186.904465458,187.993229335,10000,187.993229335
1999-06-16,187.811768688,188.537611273,186.178622874,186.723004812,10000,186.723004812
1999-06-17,188.356150627,188.719071919,185.089858997,185.089858997,10000,185.089858997
1999-06-18,186.723004812,186.904465458,184.182555767,184.908398351,10000,184.908398351
1999-06-21,184.364016413,186.904465458,184.182555767,184.908398351,10000,184.908398351
1999-06-22,185.271319643,185.815701582,181.27918543,181.642106722,10000,181.642106722
1999-06-23,181.27918543,182.912331244,181.097724784,182.912331244,10000,182.912331244
1999-06-24,181.460646076,181.823567368,180.371882199,181.097724784,10000,181.097724784
1999-06-25,181.788937474,184.208181889,181.788937474,182.480150164,10000,182.480150164
1999-06-28,183.171362854,185.072197751,183.171362854,183.689772371,10000,183.689772371
1999-06-29,186.281819959,186.281819959,181.961740646,182.307346991,10000,182.307346991
1999-06-30,181.443331129,183.171362854,180.060905749,182.652953336,10000,182.652953336
